Text,Sentiment,Confidence Level,Presence of Offenses,Presence of Discrimination
Goodwill finds jobs for people with mental and physical disabilities.,neutral,medium,no,no
"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.",positive,high,no,no
"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:",positive,high,no,no
"The business community welcomes not only another worker, but a consumer with increased purchasing power.",positive,high,no,no
Parents act as role models of self-sufficiency instead of dependency.,neutral,medium,no,no
Tax dollars that would have been spent on public assistance are saved.,neutral,medium,no,no
You and I know that solutions to difficult problems don't just happen.,neutral,medium,no,no
"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:",positive,high,no,no
A Goodwill staff member addresses a group of welfare recipients:,neutral,medium,no,no
"""You can earn the money to support yourself and your family,"" she says.",neutral,medium,no,no
"November 15, 1996",neutral,medium,no,no
"""You can get off welfare.",neutral,medium,no,no
I know you can...,neutral,medium,no,no
"I did.""",neutral,medium,no,no
A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,neutral,medium,no,no
His job objectives call for him to do it in 30.,neutral,medium,no,no
"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.",neutral,medium,no,no
"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.",neutral,medium,no,no
At the next corner he tells five more.,neutral,medium,no,no
"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.",neutral,medium,no,no
He has no time to waste.,neutral,medium,no,no
It takes a long time for him to gain the self-confidence to work elsewhere in the community.,neutral,medium,no,no
"Eventually, he turns your support into a payoff for all of us.",neutral,medium,no,no
He proudly leaves Goodwill to support himself.,positive,medium,no,no
These people and their successes are real.,neutral,medium,no,no
Neither do we.,neutral,medium,no,no
Just like the respect we've earned from U.S. News & World Report.,neutral,medium,no,no
"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",positive,medium,no,no
Real work.,neutral,medium,no,no
Real results.,neutral,medium,no,no
A real difference in people's lives -- in all of our lives.,neutral,medium,no,no
The people who can benefit most directly from your generosity have no time to waste.,neutral,medium,no,no
Neither do the rest of us who feel the positive results of their success.,neutral,medium,no,no
Your support helps provide real solutions.,neutral,medium,no,no
Please use the enclosed response card and envelope to give generously to Goodwill today.,neutral,medium,no,no
"Sincerely,",neutral,medium,no,no
Jack Dustman Board Member and Former Chairman,,,no offensive language or actions are implied in stating professional titles and history.,no discriminatory language is used based on the given text's content.
We don't waste time as we are helping the community.,positive,high,no,no
And we don't waste money.,neutral,medium,no,no
"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",positive,high,no,no
"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""",positive,high,no,no
"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.",positive,high,no,no
"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""",positive,high,no,no
"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.",positive,high,no,no
And there are a lot of people who face these challenges every day of their lives.,neutral,medium,no,no
So our work must continue.,neutral,medium,no,no
Everyone benefits from the work we do together.,positive,high,no,no
Many people need our help.,neutral,medium,no,no
Please continue our important partnership.,neutral,medium,no,no
Support Goodwill with a generous donation today.,neutral,medium,no,no
"Sincerely,",neutral,medium,no,no
James M. McClelland President,neutral,medium,no,no
We've helped people break free of the welfare cycle.,positive,high,no,no
We've found ways for people with disabilities to enter the workforce.,positive,medium,no,no
"December 10, 1996",[positive/negative/neutral],[high/medium/low],[yes/no],[yes/no]
We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.,positive,high,no,no
"Of course, we've played different roles.",neutral,medium,no,no
You have helped make Goodwill's work possible with your previous support.,positive,medium,no,no
Dear Mailhouse donor reminder:,neutral,medium,no,no
Goodwill has devised the programs that turned your investment into results.,positive,medium,no,no
Who has benefited from our partnership?,neutral,medium,no,no
Everyone has.,neutral,medium,no,no
You and I have done some important work together.,neutral,medium,no,no
"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.",neutral,medium,no,yes
"At last, he has found success in a job that he loves.",positive,high,no,no
Now his goals are set on moving up in the company.,positive,high,no,no
"Every year, thousands of people come to Goodwill.",neutral,medium,no,no
"Like Michael, they share two common characteristics.",neutral,medium,no,no
